2024-02-01 19:53:05.546 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 19:58:55.461 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/purchase_stock/models/purchase_order_line.py
2024-02-01 20:03:08.185 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 20:03:12.015 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 20:03:17.334 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 20:03:24.356 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 20:04:32.205 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 20:04:53.763 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 20:08:46.075 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 20:13:58.386 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 20:25:19.596 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/wizard/product_replenish.py
2024-02-01 20:25:21.239 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/wizard/product_replenish.py
2024-02-01 20:25:24.004 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/wizard/product_replenish.py
2024-02-01 20:25:26.437 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/wizard/product_replenish.py
2024-02-01 20:25:28.280 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/wizard/product_replenish.py
2024-02-01 20:25:32.536 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/wizard/product_replenish.py
2024-02-01 20:25:44.464 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/wizard/product_replenish.py
