2024-02-01 10:55:17.156 [info] > git rev-parse --show-toplevel [10ms]
2024-02-01 10:55:17.182 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:17.226 [info] > git rev-parse --show-toplevel [12ms]
2024-02-01 10:55:17.284 [info] > git rev-parse --show-toplevel [26ms]
2024-02-01 10:55:17.311 [info] > git rev-parse --show-toplevel [8ms]
2024-02-01 10:55:17.365 [info] > git rev-parse --show-toplevel [24ms]
2024-02-01 10:55:17.427 [info] > git rev-parse --show-toplevel [13ms]
2024-02-01 10:55:17.459 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:17.577 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:17.637 [info] > git rev-parse --show-toplevel [5ms]
2024-02-01 10:55:17.731 [info] > git rev-parse --show-toplevel [32ms]
2024-02-01 10:55:17.801 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:17.896 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:17.959 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:18.018 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:18.039 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:18.065 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:18.127 [info] > git rev-parse --show-toplevel [26ms]
2024-02-01 10:55:18.197 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:18.245 [info] > git rev-parse --show-toplevel [24ms]
2024-02-01 10:55:18.415 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:18.515 [info] > git rev-parse --show-toplevel [11ms]
2024-02-01 10:55:18.609 [info] > git rev-parse --show-toplevel [35ms]
2024-02-01 10:55:18.765 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:18.820 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:18.867 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:18.899 [info] > git rev-parse --show-toplevel [9ms]
2024-02-01 10:55:18.946 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:19.028 [info] > git rev-parse --show-toplevel [5ms]
2024-02-01 10:55:19.054 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:19.123 [info] > git rev-parse --show-toplevel [5ms]
2024-02-01 10:55:19.171 [info] > git rev-parse --show-toplevel [10ms]
2024-02-01 10:55:19.232 [info] > git rev-parse --show-toplevel [17ms]
2024-02-01 10:55:19.272 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:19.341 [info] > git rev-parse --show-toplevel [17ms]
2024-02-01 10:55:19.395 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:19.549 [info] > git rev-parse --show-toplevel [13ms]
2024-02-01 10:55:19.599 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:19.619 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:19.646 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:19.678 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:19.742 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:19.832 [info] > git rev-parse --show-toplevel [33ms]
2024-02-01 10:55:19.879 [info] > git rev-parse --show-toplevel [5ms]
2024-02-01 10:55:19.999 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:20.063 [info] > git rev-parse --show-toplevel [9ms]
2024-02-01 10:55:20.106 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:20.132 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:20.159 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:20.178 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:20.208 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:20.228 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:20.259 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:20.282 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:20.311 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:20.344 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:20.378 [info] > git rev-parse --show-toplevel [5ms]
2024-02-01 10:55:20.421 [info] > git rev-parse --show-toplevel [6ms]
2024-02-01 10:55:20.460 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:20.513 [info] > git rev-parse --show-toplevel [14ms]
2024-02-01 10:55:20.555 [info] > git rev-parse --show-toplevel [19ms]
2024-02-01 10:55:20.589 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:20.630 [info] > git rev-parse --show-toplevel [8ms]
2024-02-01 10:55:20.651 [info] > git rev-parse --show-toplevel [5ms]
2024-02-01 10:55:20.678 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:20.713 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:20.738 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:20.788 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:20.825 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:20.895 [info] > git rev-parse --show-toplevel [20ms]
2024-02-01 10:55:20.929 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:20.968 [info] > git rev-parse --show-toplevel [15ms]
2024-02-01 10:55:20.993 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:21.009 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:21.028 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:21.056 [info] > git rev-parse --show-toplevel [5ms]
2024-02-01 10:55:21.086 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:21.103 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:21.137 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:21.186 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:21.268 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:21.338 [info] > git rev-parse --show-toplevel [6ms]
2024-02-01 10:55:21.384 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:21.430 [info] > git rev-parse --show-toplevel [7ms]
2024-02-01 10:55:21.464 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:21.529 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:21.569 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:21.604 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:21.620 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:21.649 [info] > git rev-parse --show-toplevel [5ms]
2024-02-01 10:55:21.688 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:21.726 [info] > git rev-parse --show-toplevel [5ms]
2024-02-01 10:55:21.754 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:21.783 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:21.820 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:21.843 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:21.870 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:21.894 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:21.919 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:21.947 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:21.984 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:22.005 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:22.031 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:22.046 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:22.081 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:22.105 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:22.145 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:22.165 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:22.194 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:22.212 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:22.247 [info] > git rev-parse --show-toplevel [8ms]
2024-02-01 10:55:22.265 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:22.286 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:22.304 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:22.321 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:22.346 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:22.366 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:22.386 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:22.472 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:22.505 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:22.529 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:22.604 [info] > git rev-parse --show-toplevel [11ms]
2024-02-01 10:55:22.638 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:22.669 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:22.728 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:22.745 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:22.767 [info] > git rev-parse --show-toplevel [1ms]
